<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEXTN;60;210125;170000;1370.8000000;1372.4400000;1369.6700000;1371.4100000;138624557
MOEXTN;60;210125;180000;1371.7100000;1375.2000000;1371.1200000;1375.2000000;104759188
MOEXTN;60;210126;100000;1372.7800000;1376.1400000;1370.5300000;1371.1300000;195063360
MOEXTN;60;210126;110000;1371.2700000;1374.9700000;1369.0800000;1373.3900000;111961657
MOEXTN;60;210126;120000;1373.3900000;1374.3300000;1369.9200000;1372.0100000;75757556
MOEXTN;60;210126;130000;1372.0000000;1372.0000000;1369.0300000;1370.0100000;71621288
MOEXTN;60;210126;140000;1369.7100000;1369.8500000;1366.5700000;1368.6200000;75059832
MOEXTN;60;210126;150000;1368.4200000;1369.9700000;1367.6600000;1369.4200000;143990203
MOEXTN;60;210126;160000;1369.4200000;1371.6700000;1368.4200000;1368.6600000;152836489
MOEXTN;60;210126;170000;1367.5600000;1368.8700000;1365.4800000;1366.2000000;129362419
MOEXTN;60;210126;180000;1366.2000000;1366.8600000;1363.4100000;1365.6400000;175332599
MOEXTN;60;210127;100000;1367.9800000;1373.7200000;1367.9800000;1371.0500000;184426124
MOEXTN;60;210127;110000;1371.1700000;1371.8500000;1365.2500000;1365.2500000;91875738
MOEXTN;60;210127;120000;1365.4300000;1365.4300000;1358.7400000;1359.7200000;253742781
MOEXTN;60;210127;130000;1359.4300000;1360.3700000;1356.7400000;1359.8600000;145024362
MOEXTN;60;210127;140000;1359.8600000;1359.9400000;1356.6200000;1357.2600000;250069196
MOEXTN;60;210127;150000;1357.2600000;1357.2900000;1351.8000000;1352.4300000;131665637
MOEXTN;60;210127;160000;1352.2900000;1354.2700000;1350.6300000;1351.9200000;140529413
MOEXTN;60;210127;170000;1351.9200000;1352.2900000;1348.7100000;1351.7800000;131054067
MOEXTN;60;210127;180000;1351.6900000;1356.0800000;1350.2300000;1350.2300000;205705247
MOEXTN;60;210128;100000;1346.8400000;1347.3300000;1335.9800000;1340.9000000;287698147
MOEXTN;60;210128;110000;1340.9700000;1358.8700000;1340.9700000;1342.5300000;266986374
MOEXTN;60;210128;120000;1342.6300000;1343.6600000;1338.7700000;1341.1400000;144366775
MOEXTN;60;210128;130000;1341.1400000;1343.7100000;1340.2600000;1341.8100000;83331773
MOEXTN;60;210128;140000;1341.7600000;1343.9900000;1340.4500000;1341.4400000;51168196
