<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEXTN;60;210803;180000;1378.5100000;1379.2200000;1377.2100000;1377.5600000;22839931
MOEXTN;60;210804;100000;1380.4700000;1387.9200000;1379.8400000;1385.0300000;75578960
MOEXTN;60;210804;110000;1384.6500000;1387.4700000;1383.8900000;1386.8000000;80504826
MOEXTN;60;210804;120000;1386.4000000;1388.2900000;1382.9900000;1383.7800000;42094890
MOEXTN;60;210804;130000;1383.4000000;1385.2800000;1382.4100000;1384.4700000;52011095
MOEXTN;60;210804;140000;1384.7400000;1386.1000000;1381.8400000;1383.6600000;67005378
MOEXTN;60;210804;150000;1383.7600000;1387.0900000;1382.5300000;1385.3800000;47091438
MOEXTN;60;210804;160000;1385.6200000;1386.5300000;1382.3300000;1386.3900000;43107138
MOEXTN;60;210804;170000;1386.5600000;1387.0700000;1382.7600000;1384.6000000;76993367
MOEXTN;60;210804;180000;1384.4900000;1387.6200000;1383.6700000;1387.5000000;41450179
MOEXTN;60;210805;100000;1386.9700000;1386.9700000;1382.8800000;1385.0100000;72303899
MOEXTN;60;210805;110000;1384.9300000;1389.7100000;1384.9300000;1388.6000000;115471149
MOEXTN;60;210805;120000;1388.4700000;1391.8600000;1388.4700000;1391.8600000;48499922
MOEXTN;60;210805;130000;1391.6200000;1393.2900000;1386.9200000;1387.8200000;44343012
MOEXTN;60;210805;140000;1388.3200000;1390.0000000;1388.1100000;1389.6800000;38686882
MOEXTN;60;210805;150000;1389.3700000;1391.4900000;1388.6400000;1390.9600000;29377648
MOEXTN;60;210805;160000;1390.9600000;1392.4200000;1390.1400000;1390.5800000;37024941
MOEXTN;60;210805;170000;1390.4000000;1395.0900000;1390.4000000;1392.3800000;47493669
MOEXTN;60;210805;180000;1392.2100000;1401.4600000;1390.6400000;1401.4600000;133976731
MOEXTN;60;210806;100000;1404.8800000;1404.8800000;1393.8900000;1396.3000000;85857939
MOEXTN;60;210806;110000;1396.1600000;1396.9000000;1390.7800000;1392.1200000;38659436
MOEXTN;60;210806;120000;1391.9200000;1394.2400000;1390.6400000;1393.7200000;41459900
MOEXTN;60;210806;130000;1393.7200000;1394.2400000;1391.1400000;1391.3400000;17658228
MOEXTN;60;210806;140000;1390.8400000;1393.8700000;1390.8400000;1392.8900000;25139544
MOEXTN;60;210806;150000;1392.8900000;1393.9500000;1391.9100000;1392.8700000;41789013
MOEXTN;60;210806;160000;1392.2400000;1393.0000000;1389.5400000;1389.5800000;49089255
MOEXTN;60;210806;170000;1390.1100000;1391.5000000;1387.1900000;1388.3100000;70513439
MOEXTN;60;210806;180000;1387.4600000;1387.4800000;1384.8500000;1386.7700000;34511737
MOEXTN;60;210809;100000;1388.0800000;1394.4100000;1387.3900000;1388.8800000;81390441
MOEXTN;60;210809;110000;1389.6100000;1390.9200000;1387.6800000;1390.2300000;73332058
MOEXTN;60;210809;120000;1390.1800000;1392.7500000;1389.6200000;1391.2200000;23078780
MOEXTN;60;210809;130000;1391.3600000;1391.8700000;1389.8500000;1391.7900000;54677772
MOEXTN;60;210809;140000;1391.7900000;1392.2200000;1390.2800000;1391.6200000;20628406
MOEXTN;60;210809;150000;1391.9000000;1394.3200000;1390.5900000;1393.8300000;55583730
MOEXTN;60;210809;160000;1393.8300000;1394.0600000;1390.1600000;1390.5200000;40608981
MOEXTN;60;210809;170000;1390.2100000;1392.1700000;1389.9700000;1391.4000000;34223414
MOEXTN;60;210809;180000;1390.8600000;1391.4600000;1388.4700000;1390.3400000;40550223
MOEXTN;60;210810;100000;1390.3400000;1396.7800000;1389.6500000;1396.7800000;90914295
MOEXTN;60;210810;110000;1396.5700000;1403.0100000;1395.0200000;1402.8500000;68203728
MOEXTN;60;210810;120000;1402.9600000;1405.1300000;1400.5500000;1403.2000000;39691790
MOEXTN;60;210810;130000;1403.0500000;1405.6200000;1402.0500000;1404.8200000;50478904
MOEXTN;60;210810;140000;1404.9700000;1405.6000000;1403.3100000;1404.5300000;71276810
MOEXTN;60;210810;150000;1404.7000000;1406.5500000;1402.6800000;1403.5800000;44703948
MOEXTN;60;210810;160000;1403.5800000;1404.9900000;1401.8400000;1402.4200000;59012075
MOEXTN;60;210810;170000;1402.5000000;1404.6200000;1401.7500000;1403.6100000;76985127
MOEXTN;60;210810;180000;1402.9900000;1403.9300000;1401.4600000;1403.9300000;45321083
MOEXTN;60;210811;100000;1407.5300000;1407.5300000;1401.9000000;1403.5400000;54855700
MOEXTN;60;210811;110000;1403.4100000;1403.5400000;1399.7400000;1399.7400000;42113024
MOEXTN;60;210811;120000;1399.6000000;1400.7900000;1396.8200000;1400.3700000;56227081
MOEXTN;60;210811;130000;1400.3500000;1401.8800000;1399.1700000;1399.9100000;26620345
MOEXTN;60;210811;140000;1399.7500000;1403.5300000;1399.0200000;1401.0800000;39095205
MOEXTN;60;210811;150000;1401.6800000;1403.4400000;1396.2800000;1398.1800000;38764840
MOEXTN;60;210811;160000;1398.6600000;1402.6700000;1397.6700000;1401.4800000;57321809
MOEXTN;60;210811;170000;1401.1100000;1402.4200000;1400.5500000;1402.4200000;46440932
MOEXTN;60;210811;180000;1402.4200000;1402.4200000;1398.2300000;1399.4100000;52902176
MOEXTN;60;210812;100000;1399.6300000;1404.5700000;1396.1800000;1398.7900000;56550603
MOEXTN;60;210812;110000;1398.1300000;1399.2500000;1395.6900000;1398.8500000;62951510
MOEXTN;60;210812;120000;1398.7400000;1399.2600000;1397.2300000;1398.3200000;69009588
MOEXTN;60;210812;130000;1398.3600000;1398.7100000;1396.0000000;1396.5000000;19970148
MOEXTN;60;210812;140000;1396.4300000;1398.1900000;1393.9700000;1394.7800000;42700854
MOEXTN;60;210812;150000;1394.7800000;1400.9900000;1394.4800000;1396.4800000;53860036
MOEXTN;60;210812;160000;1396.8100000;1397.7300000;1394.8000000;1395.5400000;53854529
MOEXTN;60;210812;170000;1395.9000000;1396.4700000;1394.5600000;1395.7400000;30511008
MOEXTN;60;210812;180000;1396.1600000;1398.2700000;1394.4000000;1397.5700000;33514334
MOEXTN;60;210813;100000;1400.5500000;1402.9100000;1394.7300000;1395.9200000;74149802
MOEXTN;60;210813;110000;1396.0500000;1397.8900000;1394.0900000;1397.2100000;29897626
MOEXTN;60;210813;120000;1397.0700000;1397.7900000;1395.2700000;1396.2800000;18399257
MOEXTN;60;210813;130000;1396.2800000;1396.3900000;1393.4400000;1394.3000000;47770553
MOEXTN;60;210813;140000;1394.3300000;1395.8900000;1392.8100000;1393.4000000;49043434
MOEXTN;60;210813;150000;1393.2600000;1393.5000000;1389.9500000;1392.0800000;41482541
MOEXTN;60;210813;160000;1392.2200000;1392.2200000;1388.1300000;1391.3800000;39522703
MOEXTN;60;210813;170000;1390.7000000;1391.7000000;1388.7200000;1389.6900000;29828153
MOEXTN;60;210813;180000;1389.7200000;1391.4900000;1388.0400000;1388.0400000;35227098
MOEXTN;60;210816;100000;1389.5200000;1393.7500000;1384.3100000;1387.7800000;110670479
MOEXTN;60;210816;110000;1387.4200000;1389.1500000;1386.5100000;1388.8200000;29983474
MOEXTN;60;210816;120000;1388.8200000;1389.4800000;1387.3100000;1388.7400000;27550493
MOEXTN;60;210816;130000;1388.7400000;1389.5900000;1385.1500000;1385.8800000;29390672
MOEXTN;60;210816;140000;1386.0200000;1386.8900000;1381.4800000;1383.4600000;31887731
MOEXTN;60;210816;150000;1383.7300000;1383.7300000;1381.3900000;1381.8600000;19743195
MOEXTN;60;210816;160000;1381.7200000;1383.1600000;1377.4900000;1377.7300000;37795460
MOEXTN;60;210816;170000;1377.7300000;1384.8300000;1376.9000000;1383.5000000;47008422
MOEXTN;60;210816;180000;1383.0300000;1387.0100000;1383.0300000;1383.0300000;40253062
MOEXTN;60;210817;100000;1385.5400000;1391.8300000;1384.3800000;1389.2300000;128998189
MOEXTN;60;210817;110000;1389.0900000;1390.2100000;1386.4000000;1388.6000000;40986736
MOEXTN;60;210817;120000;1388.2400000;1392.0700000;1387.9900000;1390.0400000;41075059
MOEXTN;60;210817;130000;1390.7200000;1391.7600000;1388.3200000;1390.8200000;26293314
MOEXTN;60;210817;140000;1390.7200000;1390.7200000;1387.6300000;1389.2400000;40636434
MOEXTN;60;210817;150000;1389.3800000;1389.5700000;1387.3300000;1388.2300000;33383920
MOEXTN;60;210817;160000;1388.2300000;1389.3800000;1387.2200000;1387.7300000;29437347
MOEXTN;60;210817;170000;1387.7700000;1390.5500000;1387.1700000;1389.1700000;38402293
MOEXTN;60;210817;180000;1389.0300000;1390.1800000;1386.7400000;1386.7400000;34313224
MOEXTN;60;210818;100000;1387.5700000;1400.4100000;1386.3300000;1397.5000000;511854777
MOEXTN;60;210818;110000;1397.4600000;1399.9300000;1394.7500000;1395.2700000;368352596
MOEXTN;60;210818;120000;1396.1500000;1398.1300000;1394.1900000;1394.5600000;178152246
MOEXTN;60;210818;130000;1394.4500000;1397.2500000;1393.6800000;1395.4100000;135795691
MOEXTN;60;210818;140000;1395.6100000;1399.9100000;1395.0100000;1399.5300000;54762796
MOEXTN;60;210818;150000;1400.0500000;1404.1600000;1399.9500000;1403.3900000;93827254
MOEXTN;60;210818;160000;1403.3300000;1403.7200000;1398.9800000;1401.5100000;81144371
MOEXTN;60;210818;170000;1401.7900000;1402.5700000;1398.9300000;1398.9300000;53385806
MOEXTN;60;210818;180000;1399.0300000;1402.3400000;1397.8700000;1402.3400000;71574921
MOEXTN;60;210819;100000;1394.3500000;1395.6900000;1375.9500000;1376.5000000;282266952
MOEXTN;60;210819;110000;1375.9500000;1377.2300000;1372.7000000;1376.3300000;337258061
MOEXTN;60;210819;120000;1375.5300000;1376.8200000;1371.3200000;1376.2400000;126029890
MOEXTN;60;210819;130000;1375.7600000;1377.9600000;1375.0600000;1376.7800000;60810136
MOEXTN;60;210819;140000;1376.7800000;1377.4400000;1372.4700000;1375.0600000;50433961
MOEXTN;60;210819;150000;1374.7800000;1374.7800000;1369.0300000;1369.4600000;35835413
MOEXTN;60;210819;160000;1369.6100000;1376.9100000;1368.5600000;1375.3600000;69102106
MOEXTN;60;210819;170000;1375.5200000;1386.8100000;1375.1900000;1385.6600000;95929663
MOEXTN;60;210819;180000;1385.4400000;1387.5400000;1378.9300000;1382.4900000;49142703
MOEXTN;60;210820;100000;1381.9500000;1383.6800000;1376.8100000;1378.2200000;54498965
MOEXTN;60;210820;110000;1377.8700000;1379.0700000;1374.3100000;1376.0600000;36520186
MOEXTN;60;210820;120000;1376.4600000;1379.8800000;1375.3600000;1375.8000000;31548887
MOEXTN;60;210820;130000;1375.3800000;1379.5900000;1374.6800000;1377.9000000;27144134
MOEXTN;60;210820;140000;1377.8300000;1378.9700000;1376.9000000;1377.5000000;27511086
MOEXTN;60;210820;150000;1377.3700000;1379.7500000;1376.8200000;1379.7500000;25818993
MOEXTN;60;210820;160000;1378.6600000;1379.6900000;1376.7800000;1377.4600000;31716833
MOEXTN;60;210820;170000;1377.4600000;1379.2700000;1377.2600000;1379.2700000;31535179
MOEXTN;60;210820;180000;1379.2700000;1383.0400000;1375.9000000;1381.6100000;39512117
MOEXTN;60;210823;100000;1383.9300000;1389.3300000;1382.4800000;1386.3400000;139585100
MOEXTN;60;210823;110000;1387.0400000;1387.8000000;1383.7300000;1387.1100000;74387336
MOEXTN;60;210823;120000;1387.2500000;1391.7200000;1385.8900000;1390.2800000;94561565
MOEXTN;60;210823;130000;1390.0000000;1393.9500000;1389.7300000;1392.5300000;136074492
MOEXTN;60;210823;140000;1392.5300000;1397.2900000;1392.1100000;1396.5400000;94604808
MOEXTN;60;210823;150000;1396.2900000;1400.2600000;1396.2900000;1398.7700000;68646736
MOEXTN;60;210823;160000;1398.8300000;1400.8700000;1397.5500000;1399.3000000;90417283
MOEXTN;60;210823;170000;1399.4300000;1401.0400000;1395.4400000;1399.7100000;59073374
MOEXTN;60;210823;180000;1399.6600000;1401.7000000;1398.7500000;1401.7000000;58591730
MOEXTN;60;210824;100000;1406.9700000;1406.9700000;1393.1400000;1396.5900000;147141843
MOEXTN;60;210824;110000;1396.6300000;1397.1300000;1390.9400000;1396.6200000;106760867
MOEXTN;60;210824;120000;1396.5000000;1399.6900000;1395.1100000;1398.3100000;35238017
MOEXTN;60;210824;130000;1397.8700000;1400.6000000;1397.5000000;1398.4000000;34795100
MOEXTN;60;210824;140000;1398.4000000;1400.9600000;1396.1800000;1400.8600000;37299729
MOEXTN;60;210824;150000;1400.4400000;1401.0800000;1397.0600000;1398.3100000;36979436
MOEXTN;60;210824;160000;1398.2900000;1400.0400000;1397.8400000;1399.8700000;74768453
MOEXTN;60;210824;170000;1398.9800000;1402.8800000;1398.6800000;1402.8500000;41503876
MOEXTN;60;210824;180000;1405.0300000;1405.6800000;1401.9500000;1404.1900000;46605376
MOEXTN;60;210825;100000;1405.5700000;1415.2000000;1404.1300000;1414.6300000;84214797
MOEXTN;60;210825;110000;1414.4200000;1424.7000000;1413.3500000;1421.5800000;117038387
MOEXTN;60;210825;120000;1421.7500000;1425.5300000;1421.7000000;1423.6600000;49391862
MOEXTN;60;210825;130000;1423.9400000;1426.1000000;1421.6100000;1421.6800000;27442699
MOEXTN;60;210825;140000;1421.9600000;1425.3700000;1421.9600000;1423.5900000;36560992
MOEXTN;60;210825;150000;1423.5900000;1426.3900000;1423.2200000;1425.6100000;51159735
MOEXTN;60;210825;160000;1425.6100000;1427.6200000;1424.9800000;1427.3800000;72533203
MOEXTN;60;210825;170000;1427.1000000;1430.0500000;1426.4600000;1429.6400000;38169719
MOEXTN;60;210825;180000;1430.0800000;1435.2100000;1429.7100000;1434.3600000;35438403
MOEXTN;60;210826;100000;1438.8700000;1441.4700000;1433.8500000;1440.7000000;126242523
MOEXTN;60;210826;110000;1440.7200000;1443.5100000;1435.8600000;1436.8400000;46463620
MOEXTN;60;210826;120000;1436.9200000;1438.1100000;1434.1000000;1434.2800000;39773214
MOEXTN;60;210826;130000;1434.4300000;1439.5000000;1434.1200000;1437.5100000;75961933
MOEXTN;60;210826;140000;1437.4700000;1441.2200000;1437.2800000;1438.9700000;71950407
MOEXTN;60;210826;150000;1438.6900000;1441.8300000;1437.2500000;1440.9600000;50171075
MOEXTN;60;210826;160000;1440.5300000;1443.4700000;1437.2000000;1439.4100000;45283477
MOEXTN;60;210826;170000;1439.4100000;1439.4300000;1428.3500000;1429.7100000;51137363
MOEXTN;60;210826;180000;1429.7100000;1434.5900000;1429.3700000;1433.6200000;66873101
MOEXTN;60;210827;100000;1436.8800000;1441.3000000;1432.1700000;1438.4900000;71383672
MOEXTN;60;210827;110000;1438.4200000;1440.0600000;1433.9800000;1434.9300000;81288467
MOEXTN;60;210827;120000;1434.9300000;1443.0900000;1434.9300000;1443.0900000;56401878
MOEXTN;60;210827;130000;1443.0900000;1450.0800000;1442.6400000;1446.1400000;52226413
MOEXTN;60;210827;140000;1446.4500000;1449.1200000;1445.0100000;1448.9400000;44354075
MOEXTN;60;210827;150000;1449.5400000;1452.9000000;1448.3100000;1451.6000000;42359373
MOEXTN;60;210827;160000;1451.6300000;1456.6800000;1450.7000000;1454.9000000;50607795
MOEXTN;60;210827;170000;1454.7300000;1455.6900000;1447.9300000;1451.1600000;62971000
MOEXTN;60;210827;180000;1451.0200000;1457.8300000;1450.4400000;1457.8200000;191020353
MOEXTN;60;210830;100000;1461.4900000;1472.4100000;1458.9800000;1471.7100000;395054822
MOEXTN;60;210830;110000;1471.7400000;1475.6400000;1469.6000000;1475.5600000;183417602
MOEXTN;60;210830;120000;1475.2100000;1477.3700000;1473.0000000;1473.0000000;150978770
MOEXTN;60;210830;130000;1474.1700000;1481.7300000;1472.5300000;1480.6600000;137946695
MOEXTN;60;210830;140000;1480.5700000;1482.1200000;1478.0100000;1482.0800000;108456951
MOEXTN;60;210830;150000;1482.0300000;1482.9500000;1479.3300000;1482.9500000;83561185
MOEXTN;60;210830;160000;1482.9200000;1483.7000000;1478.0500000;1478.7200000;86337217
MOEXTN;60;210830;170000;1478.3000000;1482.7700000;1478.0100000;1482.1600000;132340371
MOEXTN;60;210830;180000;1481.8800000;1482.4500000;1473.2000000;1473.2000000;100773583
MOEXTN;60;210831;100000;1465.6100000;1477.3600000;1456.1600000;1473.6600000;395902454
MOEXTN;60;210831;110000;1473.2400000;1474.1100000;1466.4800000;1469.1800000;103443959
MOEXTN;60;210831;120000;1469.1800000;1473.6400000;1467.3100000;1469.0100000;84609302
MOEXTN;60;210831;130000;1469.1300000;1470.9600000;1462.9800000;1463.3300000;189087136
MOEXTN;60;210831;140000;1463.6000000;1469.5300000;1462.0400000;1464.3600000;129431290
MOEXTN;60;210831;150000;1465.0700000;1465.7900000;1458.8500000;1461.0600000;87743399
MOEXTN;60;210831;160000;1460.6800000;1462.1800000;1453.6600000;1454.9100000;109602481
MOEXTN;60;210831;170000;1454.4100000;1458.0500000;1453.9900000;1456.2000000;92122865
MOEXTN;60;210831;180000;1456.5800000;1470.4100000;1456.1500000;1470.4100000;161300409
MOEXTN;60;210901;100000;1469.1500000;1469.1500000;1460.1000000;1463.6300000;211428041
MOEXTN;60;210901;110000;1463.4600000;1469.1100000;1462.6700000;1466.6600000;262040426
MOEXTN;60;210901;120000;1466.6600000;1467.8700000;1464.6100000;1466.4700000;103904997
MOEXTN;60;210901;130000;1466.0500000;1466.8700000;1462.9700000;1464.5800000;121978073
MOEXTN;60;210901;140000;1464.5400000;1465.6200000;1461.3200000;1462.4200000;121659237
MOEXTN;60;210901;150000;1462.2100000;1463.2300000;1458.7500000;1459.6500000;122279868
MOEXTN;60;210901;160000;1459.5100000;1460.8600000;1458.7800000;1459.2800000;56207880
MOEXTN;60;210901;170000;1459.1300000;1464.4700000;1459.1300000;1462.7500000;56440477
MOEXTN;60;210901;180000;1462.8900000;1464.8600000;1459.6700000;1459.6700000;48692679
MOEXTN;60;210902;100000;1459.3700000;1464.2300000;1458.6100000;1459.8600000;105573601
MOEXTN;60;210902;110000;1458.3500000;1468.6400000;1458.3500000;1468.3300000;60557041
MOEXTN;60;210902;120000;1467.8300000;1470.5400000;1466.5200000;1468.8200000;68792925
MOEXTN;60;210902;130000;1469.0900000;1473.3500000;1467.8900000;1471.4200000;110433144
MOEXTN;60;210902;140000;1470.8400000;1472.7700000;1470.0600000;1471.3300000;57292923
MOEXTN;60;210902;150000;1471.3900000;1471.7500000;1469.5100000;1471.5600000;46648697
MOEXTN;60;210902;160000;1471.5600000;1472.7500000;1470.6800000;1471.3500000;48097236
MOEXTN;60;210902;170000;1471.5000000;1472.8200000;1469.7500000;1470.5700000;88724597
MOEXTN;60;210902;180000;1471.2400000;1471.7800000;1468.6000000;1469.6000000;55293162
MOEXTN;60;210903;100000;1467.0900000;1468.4700000;1452.9000000;1454.7700000;294652378
MOEXTN;60;210903;110000;1455.0600000;1461.0800000;1453.8400000;1459.4100000;98601022
MOEXTN;60;210903;120000;1459.6600000;1459.6600000;1455.5400000;1458.0200000;74783649
MOEXTN;60;210903;130000;1458.0500000;1460.2700000;1456.6900000;1456.7100000;38449120
MOEXTN;60;210903;140000;1457.1700000;1460.5000000;1457.0800000;1457.8700000;54480999
MOEXTN;60;210903;150000;1457.2700000;1462.7100000;1457.2700000;1460.8100000;61874343
MOEXTN;60;210903;160000;1461.0500000;1461.7300000;1454.5700000;1455.4700000;78766173
MOEXTN;60;210903;170000;1455.1400000;1458.9200000;1455.1100000;1458.3600000;68015702
MOEXTN;60;210903;180000;1458.2700000;1458.5400000;1456.0200000;1457.2200000;49778936
MOEXTN;60;210906;100000;1458.3900000;1463.0400000;1455.7000000;1456.2100000;235307732
MOEXTN;60;210906;110000;1455.6900000;1462.4700000;1454.7500000;1459.9100000;122972418
MOEXTN;60;210906;120000;1459.9800000;1460.4200000;1458.2200000;1460.2200000;80069938
MOEXTN;60;210906;130000;1459.9400000;1462.0900000;1457.6900000;1458.3500000;91946145
MOEXTN;60;210906;140000;1458.1000000;1460.6000000;1457.9600000;1459.4700000;92032828
MOEXTN;60;210906;150000;1459.1100000;1462.2100000;1457.5700000;1461.5000000;148813752
MOEXTN;60;210906;160000;1461.6200000;1461.8700000;1453.0300000;1455.9300000;113028348
MOEXTN;60;210906;170000;1455.7400000;1456.3300000;1452.2700000;1453.9200000;93821975
MOEXTN;60;210906;180000;1454.0900000;1455.2700000;1453.0500000;1454.0200000;57754757
MOEXTN;60;210907;100000;1460.5000000;1460.5000000;1449.9400000;1451.9000000;255595954
MOEXTN;60;210907;110000;1451.2500000;1451.2500000;1445.9700000;1449.0000000;147629514
MOEXTN;60;210907;120000;1449.1400000;1450.2800000;1446.6100000;1448.6900000;53381340
MOEXTN;60;210907;130000;1449.1600000;1450.4400000;1446.7300000;1448.8300000;70181169
MOEXTN;60;210907;140000;1448.7200000;1453.3800000;1448.1700000;1452.0500000;155291510
MOEXTN;60;210907;150000;1451.9800000;1453.6800000;1450.3400000;1450.7100000;33326265
MOEXTN;60;210907;160000;1450.8700000;1452.9600000;1449.1900000;1452.9600000;71086371
MOEXTN;60;210907;170000;1452.7600000;1452.7600000;1445.7600000;1447.2100000;263841355
MOEXTN;60;210907;180000;1446.7300000;1448.4600000;1446.2500000;1447.1800000;66207230
MOEXTN;60;210908;100000;1454.0000000;1454.9200000;1438.6500000;1445.1000000;326625798
MOEXTN;60;210908;110000;1444.7400000;1448.5300000;1441.6900000;1444.1000000;121552422
MOEXTN;60;210908;120000;1444.6200000;1450.0900000;1444.6200000;1448.5300000;83231801
MOEXTN;60;210908;130000;1449.0100000;1450.5800000;1446.6000000;1448.7600000;41452391
MOEXTN;60;210908;140000;1449.2200000;1450.2000000;1446.1000000;1448.4300000;40324410
MOEXTN;60;210908;150000;1448.0200000;1449.3400000;1446.2700000;1447.0600000;130338134
MOEXTN;60;210908;160000;1447.0600000;1449.6100000;1445.6700000;1447.6100000;74309584
MOEXTN;60;210908;170000;1447.6100000;1449.1700000;1444.2800000;1445.2700000;113247602
MOEXTN;60;210908;180000;1445.4100000;1448.9700000;1445.4100000;1446.3900000;56146014
MOEXTN;60;210909;100000;1446.5700000;1451.4500000;1440.0500000;1442.0000000;198194853
MOEXTN;60;210909;110000;1442.2500000;1442.8300000;1439.1900000;1440.5300000;86638016
MOEXTN;60;210909;120000;1440.9300000;1441.7800000;1439.1600000;1441.2500000;68115471
MOEXTN;60;210909;130000;1441.4300000;1442.8500000;1440.7700000;1441.1100000;40756912
MOEXTN;60;210909;140000;1441.3900000;1442.3700000;1439.7600000;1441.4000000;43032100
MOEXTN;60;210909;150000;1441.5200000;1443.0000000;1440.6000000;1441.3600000;90094355
MOEXTN;60;210909;160000;1440.9500000;1443.1700000;1440.9300000;1442.7900000;55895878
MOEXTN;60;210909;170000;1442.5200000;1443.1600000;1440.8700000;1441.7300000;75983173
MOEXTN;60;210909;180000;1441.7200000;1446.3100000;1440.9400000;1446.3100000;80978954
MOEXTN;60;210910;100000;1444.0000000;1447.7300000;1439.8800000;1441.7900000;110594705
MOEXTN;60;210910;110000;1442.0900000;1446.6900000;1440.2600000;1446.6300000;66974259
MOEXTN;60;210910;120000;1446.6300000;1447.7700000;1442.9900000;1443.4500000;48293100
MOEXTN;60;210910;130000;1442.9900000;1444.9600000;1442.1400000;1443.6000000;41475589
MOEXTN;60;210910;140000;1443.7600000;1444.6500000;1442.3100000;1442.3100000;35974003
MOEXTN;60;210910;150000;1442.3100000;1442.8400000;1437.6800000;1441.6300000;47295896
MOEXTN;60;210910;160000;1441.5800000;1441.5800000;1436.4600000;1437.5400000;64385726
MOEXTN;60;210910;170000;1437.1300000;1439.5000000;1432.0200000;1433.2900000;60475059
MOEXTN;60;210910;180000;1433.5400000;1435.4400000;1432.7900000;1432.8000000;37245249
MOEXTN;60;210913;100000;1439.2500000;1441.8300000;1434.7700000;1436.1100000;79187574
MOEXTN;60;210913;110000;1436.3800000;1438.9400000;1435.3200000;1436.5200000;35280112
MOEXTN;60;210913;120000;1436.5200000;1440.5000000;1434.7800000;1438.1700000;87033739
MOEXTN;60;210913;130000;1438.4400000;1438.6800000;1434.2400000;1436.7800000;72720163
MOEXTN;60;210913;140000;1436.7700000;1437.3300000;1433.7700000;1435.4000000;29816432
MOEXTN;60;210913;150000;1435.4000000;1438.8000000;1434.9300000;1435.2500000;66371830
MOEXTN;60;210913;160000;1434.9900000;1436.1200000;1433.6500000;1434.7900000;66443734
MOEXTN;60;210913;170000;1434.7900000;1436.1900000;1433.3100000;1434.8100000;108038645
MOEXTN;60;210913;180000;1435.1300000;1437.1000000;1434.7600000;1435.7900000;42151373
MOEXTN;60;210914;100000;1442.2100000;1444.6500000;1434.7300000;1437.5700000;136777703
MOEXTN;60;210914;110000;1437.1200000;1441.9700000;1437.0100000;1440.4700000;99617717
MOEXTN;60;210914;120000;1440.3700000;1440.7200000;1435.5000000;1437.0300000;70869598
MOEXTN;60;210914;130000;1436.2200000;1440.0500000;1435.9900000;1436.1100000;60447927
MOEXTN;60;210914;140000;1436.5300000;1437.4700000;1434.2100000;1435.9700000;74211639
MOEXTN;60;210914;150000;1435.8300000;1436.9200000;1434.2400000;1435.3100000;39739863
MOEXTN;60;210914;160000;1435.4500000;1436.3000000;1434.0600000;1435.3300000;35685570
MOEXTN;60;210914;170000;1435.3300000;1438.0300000;1433.8800000;1435.2100000;76310901
MOEXTN;60;210914;180000;1435.9000000;1435.9000000;1431.5300000;1431.5300000;48325136
MOEXTN;60;210915;100000;1434.7800000;1439.2200000;1431.9500000;1434.6600000;182630946
MOEXTN;60;210915;110000;1433.8600000;1437.3300000;1430.5100000;1435.4500000;88179745
MOEXTN;60;210915;120000;1435.4500000;1437.4200000;1433.3100000;1435.3100000;53137202
MOEXTN;60;210915;130000;1434.8300000;1436.5400000;1431.9100000;1435.6600000;50377796
MOEXTN;60;210915;140000;1436.1100000;1439.3200000;1433.0400000;1438.6800000;46376493
MOEXTN;60;210915;150000;1438.9500000;1441.3700000;1435.9000000;1440.0600000;38520558
MOEXTN;60;210915;160000;1439.9100000;1440.9300000;1437.5400000;1439.7800000;75651225
MOEXTN;60;210915;170000;1439.6200000;1441.6700000;1436.3100000;1437.0400000;90399871
MOEXTN;60;210915;180000;1436.6800000;1439.2900000;1435.3800000;1435.3800000;103724726
MOEXTN;60;210916;100000;1437.7200000;1443.4100000;1437.7200000;1439.7600000;63732269
MOEXTN;60;210916;110000;1440.3900000;1443.2400000;1439.5700000;1442.4700000;63629627
MOEXTN;60;210916;120000;1442.7400000;1444.2100000;1438.5600000;1439.9900000;78955599
MOEXTN;60;210916;130000;1439.8300000;1443.8600000;1438.4700000;1440.3600000;164782941
MOEXTN;60;210916;140000;1440.3600000;1440.3600000;1434.7200000;1435.0200000;103319359
MOEXTN;60;210916;150000;1434.8800000;1436.5700000;1433.8500000;1435.9400000;128596283
MOEXTN;60;210916;160000;1435.7000000;1438.3800000;1429.8300000;1434.5400000;106363798
MOEXTN;60;210916;170000;1434.3700000;1435.4700000;1428.7900000;1434.7800000;96522185
MOEXTN;60;210916;180000;1435.4500000;1435.4500000;1428.0600000;1429.8400000;156880489
MOEXTN;60;210917;100000;1440.1300000;1444.6000000;1434.7100000;1443.1200000;129479534
MOEXTN;60;210917;110000;1442.3600000;1448.9300000;1440.8700000;1445.8300000;125353312
MOEXTN;60;210917;120000;1444.2100000;1445.2500000;1439.6800000;1443.3900000;73425566
MOEXTN;60;210917;130000;1443.3200000;1445.0200000;1442.3000000;1443.6200000;49308000
MOEXTN;60;210917;140000;1443.4700000;1449.8200000;1442.3200000;1448.3900000;58680167
MOEXTN;60;210917;150000;1450.1100000;1456.6200000;1445.3500000;1455.8200000;106526742
MOEXTN;60;210917;160000;1455.2300000;1460.4500000;1448.4800000;1450.6100000;198069070
